asin,first_timestamp,last_timestamp,reference_start_position,reference_end_position,reference_n,reference_mean,reference_count_1,reference_count_2,reference_count_3,reference_count_4,reference_count_5,calibration_1_start_position,calibration_1_end_position,calibration_1_n,calibration_1_mean,calibration_1_count_1,calibration_1_count_2,calibration_1_count_3,calibration_1_count_4,calibration_1_count_5,calibration_2_start_position,calibration_2_end_position,calibration_2_n,calibration_2_mean,calibration_2_count_1,calibration_2_count_2,calibration_2_count_3,calibration_2_count_4,calibration_2_count_5,experimental_A_start_position,experimental_A_end_position,experimental_A_n,experimental_A_mean,experimental_A_count_1,experimental_A_count_2,experimental_A_count_3,experimental_A_count_4,experimental_A_count_5,experimental_B_start_position,experimental_B_end_position,experimental_B_n,experimental_B_mean,experimental_B_count_1,experimental_B_count_2,experimental_B_count_3,experimental_B_count_4,experimental_B_count_5,holdout_1_start_position,holdout_1_end_position,holdout_1_n,holdout_1_mean,holdout_1_count_1,holdout_1_count_2,holdout_1_count_3,holdout_1_count_4,holdout_1_count_5,holdout_2_start_position,holdout_2_end_position,holdout_2_n,holdout_2_mean,holdout_2_count_1,holdout_2_count_2,holdout_2_count_3,holdout_2_count_4,holdout_2_count_5
B0000VYDKM,1101699269000,1363354145000,1,120,120,4.116666666666666,11,4,11,28,66,121,150,30,4.1,3,1,1,10,15,151,180,30,3.8666666666666667,4,2,2,8,14,181,210,30,3.8333333333333335,5,1,3,6,15,211,240,30,4.133333333333334,3,2,2,4,19,241,270,30,4.1,3,1,3,6,17,271,300,30,4.166666666666667,2,3,2,4,19
B0000VZ3YM,1226362932000,1514966645524,1,120,120,4.225,9,4,12,21,74,121,150,30,4.466666666666667,0,1,2,9,18,151,180,30,4.266666666666667,1,2,3,6,18,181,210,30,4.2,0,4,3,6,17,211,240,30,4.166666666666667,1,2,4,7,16,241,270,30,4.033333333333333,3,2,3,5,17,271,300,30,3.966666666666667,2,2,5,7,14
B0000VZA2W,1155090971000,1420900899000,1,120,120,4.266666666666667,6,7,5,33,69,121,150,30,3.7333333333333334,4,5,2,3,16,151,180,30,3.7333333333333334,6,2,0,8,14,181,210,30,3.6,5,4,3,4,14,211,240,30,4.2,1,0,4,12,13,241,270,30,4.3,1,2,3,5,19,271,300,30,3.5,6,3,2,8,11
B0000W03XC,1313897847000,1527081871266,1,120,120,3.8333333333333335,12,14,15,20,59,121,150,30,3.9,6,1,1,4,18,151,180,30,3.533333333333333,6,1,7,3,13,181,210,30,3.7,3,5,5,2,15,211,240,30,3.8,4,2,4,6,14,241,270,30,3.6666666666666665,4,5,2,5,14,271,300,30,3.966666666666667,4,2,3,3,18
B0000W4MYI,1117519585000,1363916292000,1,120,120,3.8583333333333334,14,8,13,31,54,121,150,30,3.6,6,4,2,2,16,151,180,30,4.133333333333334,3,1,2,7,17,181,210,30,3.2666666666666666,8,2,4,6,10,211,240,30,3.466666666666667,7,2,5,2,14,241,270,30,4.0,5,1,1,5,18,271,300,30,4.0,3,3,0,9,15
B0000X6ESO,1174323338000,1455717258000,1,120,120,4.016666666666667,9,8,15,28,60,121,150,30,4.366666666666666,3,0,2,3,22,151,180,30,4.2,0,3,5,5,17,181,210,30,4.066666666666666,2,3,4,3,18,211,240,30,3.8333333333333335,4,2,4,5,15,241,270,30,4.133333333333334,4,1,2,3,20,271,300,30,3.7,6,1,4,4,15
B0000X7CMQ,1080243380000,1233374838000,1,120,120,3.9166666666666665,16,8,11,20,65,121,150,30,3.7666666666666666,2,5,3,8,12,151,180,30,4.133333333333334,1,3,0,13,13,181,210,30,3.6666666666666665,5,2,3,8,12,211,240,30,3.533333333333333,4,4,3,10,9,241,270,30,3.8,1,5,5,7,12,271,300,30,3.433333333333333,5,4,5,5,11
B0000X8X3I,1116432731000,1523917934654,1,120,120,3.9833333333333334,9,6,18,32,55,121,150,30,4.133333333333334,1,0,6,10,13,151,180,30,4.0,2,1,5,9,13,181,210,30,4.366666666666666,1,2,1,7,19,211,240,30,4.2,2,0,2,12,14,241,270,30,3.9,4,1,3,8,14,271,300,30,3.8333333333333335,2,3,6,6,13
B0000X8X3S,1238347399000,1623201645856,1,120,120,4.2,5,7,17,21,70,121,150,30,3.8666666666666667,3,2,6,4,15,151,180,30,3.7666666666666666,2,5,4,6,13,181,210,30,4.233333333333333,3,1,2,4,20,211,240,30,3.433333333333333,9,2,1,3,15,241,270,30,3.1333333333333333,4,9,6,1,10,271,300,30,3.8333333333333335,6,1,2,4,17
B0000XOBDE,1091218137000,1507061028955,1,120,120,4.791666666666667,0,0,4,17,99,121,150,30,4.833333333333333,0,0,0,5,25,151,180,30,4.833333333333333,1,0,0,1,28,181,210,30,4.866666666666666,0,0,1,2,27,211,240,30,4.9,0,0,0,3,27,241,270,30,4.833333333333333,0,0,1,3,26,271,300,30,4.9,0,0,1,1,28
B0000YS93Q,1271270434000,1578621547859,1,120,120,4.541666666666667,1,2,9,27,81,121,150,30,4.366666666666666,2,0,1,9,18,151,180,30,4.433333333333334,0,1,3,8,18,181,210,30,4.7,1,0,0,5,24,211,240,30,4.466666666666667,2,0,1,6,21,241,270,30,4.6,2,0,1,2,25,271,300,30,4.3,1,3,2,4,20
B0000YTYGM,1092441870000,1298831543000,1,120,120,3.75,21,10,9,18,62,121,150,30,4.266666666666667,3,1,0,7,19,151,180,30,4.2,1,1,4,9,15,181,210,30,3.6,7,2,2,4,15,211,240,30,3.2666666666666666,7,5,2,5,11,241,270,30,3.8333333333333335,5,2,1,7,15,271,300,30,4.066666666666666,2,4,1,6,17
B0000Z6JJG,1120519419000,1358881699000,1,120,120,4.625,3,3,4,16,94,121,150,30,4.566666666666666,1,0,1,7,21,151,180,30,4.1,0,7,0,6,17,181,210,30,4.433333333333334,2,1,1,4,22,211,240,30,4.5,2,2,0,1,25,241,270,30,4.3,2,3,1,2,22,271,300,30,4.266666666666667,1,2,5,2,20
B0000Z6JK0,1095567084000,1418220955000,1,120,120,4.558333333333334,0,6,9,17,88,121,150,30,4.566666666666666,1,0,2,5,22,151,180,30,4.766666666666667,0,0,1,5,24,181,210,30,4.4,1,2,2,4,21,211,240,30,4.6,0,2,0,6,22,241,270,30,4.633333333333334,0,1,2,4,23,271,300,30,4.2,3,2,1,4,20
B0000ZLB7G,1174923014000,1486429345000,1,120,120,4.441666666666666,3,4,7,29,77,121,150,30,4.633333333333334,0,0,4,3,23,151,180,30,4.6,1,0,2,4,23,181,210,30,4.633333333333334,1,1,1,2,25,211,240,30,4.533333333333333,0,2,0,8,20,241,270,30,4.4,1,0,5,4,20,271,300,30,4.8,0,0,1,4,25
B0000ZU2UI,1232809304000,1482696926000,1,120,120,4.55,4,0,7,24,85,121,150,30,4.466666666666667,0,1,2,9,18,151,180,30,4.6,1,0,2,4,23,181,210,30,4.466666666666667,0,0,5,6,19,211,240,30,4.5,0,0,4,7,19,241,270,30,4.366666666666666,1,1,3,6,19,271,300,30,4.4,2,0,2,6,20
B00012F3WC,1169836607000,1625344076343,1,120,120,4.225,8,1,17,24,70,121,150,30,3.933333333333333,2,5,1,7,15,151,180,30,4.0,4,2,3,2,19,181,210,30,4.233333333333333,0,4,4,3,19,211,240,30,3.8333333333333335,6,3,0,2,19,241,270,30,3.8333333333333335,6,2,1,3,18,271,300,30,3.433333333333333,7,3,3,4,13
B00013K77C,1090130974000,1639089848825,1,120,120,3.466666666666667,29,11,11,13,56,121,150,30,3.2666666666666666,6,6,4,2,12,151,180,30,3.6333333333333333,6,3,2,4,15,181,210,30,3.7333333333333334,4,3,5,3,15,211,240,30,3.3,8,2,5,3,12,241,270,30,3.466666666666667,9,1,3,1,16,271,300,30,3.8666666666666667,6,2,2,0,20
B00013K8OO,1120791952000,1433293438000,1,120,120,3.966666666666667,13,4,10,40,53,121,150,30,4.033333333333333,2,2,3,9,14,151,180,30,4.033333333333333,1,3,5,6,15,181,210,30,4.233333333333333,1,2,3,7,17,211,240,30,4.366666666666666,0,2,4,5,19,241,270,30,4.333333333333333,2,1,0,9,18,271,300,30,4.0,1,4,4,6,15
B00014CEXG,1149459092000,1427122552000,1,120,120,4.3,6,5,7,31,71,121,150,30,3.7333333333333334,6,1,4,3,16,151,180,30,4.366666666666666,0,2,2,9,17,181,210,30,4.433333333333334,1,0,4,5,20,211,240,30,4.2,1,3,2,7,17,241,270,30,4.233333333333333,2,0,4,7,17,271,300,30,4.5,1,2,1,3,23
B00014WEHW,1140982474000,1460817114000,1,120,120,4.3,9,5,6,21,79,121,150,30,4.533333333333333,2,0,1,4,23,151,180,30,4.6,2,0,1,2,25,181,210,30,4.566666666666666,1,0,3,3,23,211,240,30,4.433333333333334,3,1,0,2,24,241,270,30,4.5,2,1,1,2,24,271,300,30,4.166666666666667,4,2,1,1,22
B00014WEIG,1192137236000,1454802571000,1,120,120,3.65,28,4,11,16,61,121,150,30,4.333333333333333,2,1,1,7,19,151,180,30,4.333333333333333,2,0,2,8,18,181,210,30,4.166666666666667,4,1,1,4,20,211,240,30,4.433333333333334,2,0,3,3,22,241,270,30,4.333333333333333,1,2,3,4,20,271,300,30,4.633333333333334,1,0,2,3,24
B00014WEKY,1199343612000,1451550313000,1,120,120,3.8666666666666667,8,14,17,28,53,121,150,30,3.7,5,3,2,6,14,151,180,30,3.9,2,4,4,5,15,181,210,30,4.366666666666666,2,1,3,2,22,211,240,30,4.466666666666667,1,1,2,5,21,241,270,30,4.366666666666666,0,3,4,2,21,271,300,30,4.333333333333333,1,0,6,4,19
B00015COVW,1231317922000,1601387751272,1,120,120,4.3,6,7,11,17,79,121,150,30,4.233333333333333,1,1,6,4,18,151,180,30,4.6,0,3,1,1,25,181,210,30,4.366666666666666,2,3,0,2,23,211,240,30,4.2,1,3,3,5,18,241,270,30,4.5,1,3,0,2,24,271,300,30,4.2,3,3,1,1,22
B00015NN0S,1105572644000,1593103722762,1,120,120,4.65,2,2,3,22,91,121,150,30,4.633333333333334,1,1,0,4,24,151,180,30,4.766666666666667,0,1,0,4,25,181,210,30,4.7,1,0,2,1,26,211,240,30,4.7,1,0,0,5,24,241,270,30,4.633333333333334,1,1,1,2,25,271,300,30,4.533333333333333,1,1,1,5,22
B00017UTQW,1182016513000,1601907479829,1,120,120,4.425,4,5,12,14,85,121,150,30,4.6,0,2,2,2,24,151,180,30,4.8,0,0,1,4,25,181,210,30,4.6,1,1,1,3,24,211,240,30,4.433333333333334,1,1,1,8,19,241,270,30,4.733333333333333,0,1,2,1,26,271,300,30,4.233333333333333,3,2,2,1,22
B00018BOHO,1226844608000,1622761490200,1,120,120,4.408333333333333,11,4,2,11,92,121,150,30,3.8,8,1,0,1,20,151,180,30,4.233333333333333,5,1,0,0,24,181,210,30,4.5,3,0,0,3,24,211,240,30,4.4,3,1,1,1,24,241,270,30,3.3333333333333335,11,0,3,0,16,271,300,30,3.933333333333333,7,1,0,1,21
B00018RR48,1097452679000,1394832185000,1,120,120,4.583333333333333,5,0,4,22,89,121,150,30,4.7,0,0,1,7,22,151,180,30,4.833333333333333,0,0,0,5,25,181,210,30,4.833333333333333,0,0,1,3,26,211,240,30,4.533333333333333,1,2,0,4,23,241,270,30,4.266666666666667,2,1,1,9,17,271,300,30,4.6,0,1,0,9,20
B00019G8IS,1111033685000,1347748867000,1,120,120,4.65,3,1,5,17,94,121,150,30,4.4,2,1,2,3,22,151,180,30,3.8,6,1,1,7,15,181,210,30,4.1,4,1,0,8,17,211,240,30,3.966666666666667,3,0,5,9,13,241,270,30,3.7,5,2,2,9,12,271,300,30,3.8666666666666667,3,3,4,5,15
B0001AG8F0,1117576071000,1415732325000,1,120,120,3.966666666666667,10,8,11,38,53,121,150,30,3.966666666666667,2,4,3,5,16,151,180,30,3.9,5,2,1,5,17,181,210,30,4.066666666666666,3,1,3,7,16,211,240,30,3.8,5,3,1,5,16,241,270,30,4.3,1,2,3,5,19,271,300,30,4.633333333333334,1,0,2,3,24
B0001AO8E8,1197383949000,1473690767000,1,120,120,3.7666666666666666,16,14,13,16,61,121,150,30,3.8666666666666667,5,2,1,6,16,151,180,30,3.966666666666667,4,2,3,3,18,181,210,30,3.2666666666666666,7,4,4,4,11,211,240,30,3.9,4,2,3,5,16,241,270,30,3.6333333333333333,4,4,5,3,14,271,300,30,3.966666666666667,4,2,3,3,18
B0001BMYIE,1178997804000,1413391009000,1,120,120,4.7,3,1,5,11,100,121,150,30,4.6,1,1,2,1,25,151,180,30,4.933333333333334,0,0,1,0,29,181,210,30,4.366666666666666,3,1,0,4,22,211,240,30,4.8,0,0,1,4,25,241,270,30,4.866666666666666,0,0,0,4,26,271,300,30,4.766666666666667,0,0,1,5,24
B0001E839U,1272506523000,1441147170000,1,120,120,4.766666666666667,0,1,4,17,98,121,150,30,4.7,0,0,3,3,24,151,180,30,4.533333333333333,1,1,1,5,22,181,210,30,4.4,1,1,3,5,20,211,240,30,4.7,0,0,1,7,22,241,270,30,4.5,2,0,0,7,21,271,300,30,4.533333333333333,1,1,2,3,23
B0001HLWHW,1094673865000,1565817374992,1,120,120,3.1166666666666667,31,15,21,15,38,121,150,30,2.4,14,4,3,4,5,151,180,30,3.3666666666666667,5,5,4,6,10,181,210,30,3.566666666666667,4,6,3,3,14,211,240,30,2.966666666666667,12,2,3,1,12,241,270,30,3.7,5,4,2,3,16,271,300,30,3.1666666666666665,8,4,4,3,11
B0001LO5EK,1119964194000,1536414921180,1,120,120,4.325,8,1,11,24,76,121,150,30,4.433333333333334,1,0,4,5,20,151,180,30,4.266666666666667,5,0,0,2,23,181,210,30,4.633333333333334,0,1,1,6,22,211,240,30,4.533333333333333,1,0,2,6,21,241,270,30,4.4,0,3,1,7,19,271,300,30,4.533333333333333,1,0,2,6,21
B0001LO5FO,1110580121000,1585516409521,1,120,120,4.491666666666666,4,6,4,19,87,121,150,30,4.5,1,1,2,4,22,151,180,30,4.766666666666667,0,1,1,2,26,181,210,30,4.5,1,2,1,3,23,211,240,30,4.433333333333334,2,1,1,4,22,241,270,30,4.633333333333334,1,0,3,1,25,271,300,30,4.5,2,1,1,2,24
B0001MKU48,1119540250000,1449033038000,1,120,120,4.583333333333333,1,2,9,22,86,121,150,30,4.733333333333333,0,0,2,4,24,151,180,30,4.5,1,0,3,5,21,181,210,30,4.8,0,0,2,2,26,211,240,30,4.766666666666667,0,0,1,5,24,241,270,30,4.6,0,2,2,2,24,271,300,30,4.766666666666667,0,1,0,4,25
B0001MS3P6,1193558308000,1418857080000,1,120,120,4.05,15,5,11,17,72,121,150,30,4.233333333333333,3,1,3,2,21,151,180,30,4.266666666666667,3,0,3,4,20,181,210,30,4.1,4,2,2,1,21,211,240,30,4.533333333333333,2,0,1,4,23,241,270,30,3.933333333333333,5,1,3,3,18,271,300,30,3.933333333333333,3,5,2,1,19
B0001MS400,1168526811000,1479834068000,1,120,120,4.641666666666667,1,6,4,13,96,121,150,30,4.533333333333333,0,2,3,2,23,151,180,30,4.633333333333334,0,1,2,4,23,181,210,30,4.533333333333333,1,0,4,2,23,211,240,30,4.9,0,0,0,3,27,241,270,30,4.633333333333334,2,0,0,3,25,271,300,30,4.3,3,1,1,4,21
B0001MSDOC,1131106327000,1436789690000,1,120,120,4.591666666666667,3,4,4,17,92,121,150,30,4.866666666666666,0,0,1,2,27,151,180,30,4.6,0,1,2,5,22,181,210,30,4.433333333333334,2,0,3,3,22,211,240,30,4.266666666666667,0,3,1,11,15,241,270,30,4.566666666666666,1,1,0,6,22,271,300,30,4.633333333333334,0,0,3,5,22
B0001PG238,1127107099000,1354327571000,1,120,120,4.016666666666667,14,7,11,19,69,121,150,30,4.133333333333334,3,2,0,8,17,151,180,30,3.433333333333333,9,2,1,3,15,181,210,30,3.3333333333333335,9,1,2,7,11,211,240,30,3.6666666666666665,2,8,2,4,14,241,270,30,3.933333333333333,3,3,3,5,16,271,300,30,4.033333333333333,2,3,1,10,14
B0001QNGHC,1361914853000,1563645306052,1,120,120,4.016666666666667,13,7,13,19,68,121,150,30,3.2666666666666666,7,4,4,4,11,151,180,30,3.3333333333333335,6,4,6,2,12,181,210,30,3.433333333333333,5,5,5,2,13,211,240,30,3.3333333333333335,10,2,1,2,15,241,270,30,4.433333333333334,2,1,2,2,23,271,300,30,4.233333333333333,3,2,1,3,21
B0001UJVO0,1229461676000,1667064624793,1,120,120,4.558333333333334,3,0,8,25,84,121,150,30,4.633333333333334,1,0,2,3,24,151,180,30,4.7,0,1,0,6,23,181,210,30,4.733333333333333,1,0,2,0,27,211,240,30,4.7,1,1,1,0,27,241,270,30,4.733333333333333,1,0,1,2,26,271,300,30,4.566666666666666,1,0,4,1,24
B0001UQVRU,1096028532000,1417040886000,1,120,120,3.9833333333333334,11,10,11,26,62,121,150,30,2.966666666666667,9,5,4,2,10,151,180,30,4.2,2,3,2,3,20,181,210,30,3.1666666666666665,9,4,3,1,13,211,240,30,3.8666666666666667,6,0,3,4,17,241,270,30,3.8333333333333335,2,6,1,7,14,271,300,30,3.1333333333333333,8,6,1,4,11
B0001V03X2,1250038312000,1586673906161,1,120,120,4.291666666666667,3,8,12,25,72,121,150,30,3.933333333333333,3,3,2,7,15,151,180,30,4.066666666666666,4,2,1,4,19,181,210,30,4.1,4,1,2,4,19,211,240,30,3.8666666666666667,6,1,2,3,18,241,270,30,3.9,6,0,2,5,17,271,300,30,4.4,2,1,2,3,22
B0001V489W,1191093189000,1466716075000,1,120,120,4.408333333333333,9,1,5,22,83,121,150,30,4.5,1,1,2,4,22,151,180,30,4.533333333333333,2,1,1,1,25,181,210,30,4.4,2,0,1,8,19,211,240,30,3.933333333333333,6,0,1,6,17,241,270,30,3.7,5,4,0,7,14,271,300,30,4.566666666666666,1,0,2,5,22
B0001V4AFO,1167090037000,1458841414000,1,120,120,3.6083333333333334,24,11,6,26,53,121,150,30,4.033333333333333,4,2,1,5,18,151,180,30,3.3666666666666667,8,3,3,2,14,181,210,30,3.966666666666667,4,2,0,9,15,211,240,30,4.233333333333333,4,0,1,5,20,241,270,30,3.533333333333333,8,2,2,2,16,271,300,30,4.166666666666667,2,1,6,2,19
B0001WW2G2,1134155634000,1366213937000,1,120,120,3.941666666666667,10,9,10,40,51,121,150,30,3.8333333333333335,3,2,4,9,12,151,180,30,3.933333333333333,3,1,4,9,13,181,210,30,3.8666666666666667,1,5,3,9,12,211,240,30,3.7,5,3,2,6,14,241,270,30,4.2,1,3,2,7,17,271,300,30,4.1,2,1,5,6,16
B0001WW2GC,1086122006000,1425708125000,1,120,120,3.808333333333333,14,8,17,29,52,121,150,30,4.2,2,0,4,8,16,151,180,30,4.333333333333333,0,2,5,4,19,181,210,30,4.066666666666666,2,1,7,3,17,211,240,30,4.133333333333334,2,1,5,5,17,241,270,30,3.8666666666666667,4,2,3,6,15,271,300,30,4.533333333333333,1,1,2,3,23
B0001XRNDI,1172900999000,1372486892000,1,120,120,4.508333333333334,1,2,7,35,75,121,150,30,4.466666666666667,1,1,3,3,22,151,180,30,4.5,1,1,0,8,20,181,210,30,4.366666666666666,1,2,1,7,19,211,240,30,4.466666666666667,2,0,1,6,21,241,270,30,4.533333333333333,0,1,3,5,21,271,300,30,4.833333333333333,0,0,0,5,25
B0001XRNEM,1190019109000,1362849297000,1,120,120,4.183333333333334,10,4,9,28,69,121,150,30,4.066666666666666,4,1,2,5,18,151,180,30,3.8666666666666667,2,5,2,7,14,181,210,30,4.2,4,1,2,1,22,211,240,30,4.0,3,1,4,7,15,241,270,30,4.233333333333333,1,3,2,6,18,271,300,30,4.4,1,0,4,6,19
B0001XXCYC,1373829103000,1566755848048,1,120,120,4.583333333333333,2,3,9,15,91,121,150,30,4.333333333333333,2,1,2,5,20,151,180,30,4.633333333333334,0,1,1,6,22,181,210,30,4.766666666666667,1,0,0,3,26,211,240,30,4.2,3,2,3,0,22,241,270,30,4.666666666666667,1,0,1,4,24,271,300,30,4.733333333333333,1,1,0,1,27
B0001YAPHS,1190805934000,1499800586723,1,120,120,4.216666666666667,7,6,12,24,71,121,150,30,4.4,1,0,4,6,19,151,180,30,4.4,0,3,3,3,21,181,210,30,4.433333333333334,2,1,0,6,21,211,240,30,4.2,2,2,4,2,20,241,270,30,3.8666666666666667,4,1,6,3,16,271,300,30,4.3,3,0,3,3,21
B0001YH1A2,1151250735000,1426960814000,1,120,120,4.541666666666667,4,6,4,13,93,121,150,30,4.433333333333334,0,2,2,7,19,151,180,30,4.466666666666667,3,0,0,4,23,181,210,30,4.533333333333333,1,2,0,4,23,211,240,30,4.733333333333333,0,0,2,4,24,241,270,30,4.533333333333333,3,0,0,2,25,271,300,30,4.366666666666666,2,1,0,8,19
B0001YH1LG,1094251502000,1384186397000,1,120,120,3.875,12,14,16,13,65,121,150,30,3.3666666666666667,6,4,6,1,13,151,180,30,2.5,11,8,1,5,5,181,210,30,3.9,3,2,4,7,14,211,240,30,4.133333333333334,2,3,3,3,19,241,270,30,4.1,5,0,1,5,19,271,300,30,4.133333333333334,2,3,3,3,19
B0001YH1O8,1173900017000,1483397478000,1,120,120,3.5166666666666666,20,15,16,21,48,121,150,30,3.8666666666666667,3,3,5,3,16,151,180,30,3.6,7,3,2,1,17,181,210,30,4.0,3,2,5,2,18,211,240,30,3.6333333333333333,5,4,3,3,15,241,270,30,4.3,1,3,3,2,21,271,300,30,4.133333333333334,2,3,2,5,18
B0001ZI53S,1140966534000,1444413058000,1,120,120,4.55,3,4,7,16,90,121,150,30,4.7,0,0,1,7,22,151,180,30,4.333333333333333,3,2,0,2,23,181,210,30,4.633333333333334,2,0,0,3,25,211,240,30,4.566666666666666,2,0,0,5,23,241,270,30,4.4,3,1,1,1,24,271,300,30,4.6,1,0,2,4,23
B0001ZJMPI,1173119296000,1564555761890,1,120,120,4.466666666666667,2,5,13,15,85,121,150,30,4.366666666666666,1,3,1,4,21,151,180,30,4.566666666666666,0,3,1,2,24,181,210,30,4.533333333333333,0,0,3,8,19,211,240,30,4.4,1,3,0,5,21,241,270,30,4.566666666666666,1,0,3,3,23,271,300,30,4.566666666666666,1,1,2,2,24
B000209YPA,1170854165000,1483450202000,1,120,120,4.483333333333333,5,5,6,15,89,121,150,30,4.033333333333333,1,2,7,5,15,151,180,30,4.2,1,3,3,5,18,181,210,30,4.233333333333333,2,1,5,2,20,211,240,30,4.3,2,1,2,6,19,241,270,30,4.066666666666666,3,2,3,4,18,271,300,30,3.8,4,1,6,5,14
B00020BQGK,1111021056000,1204083060000,1,120,120,4.458333333333333,5,3,8,20,84,121,150,30,4.433333333333334,1,1,0,10,18,151,180,30,4.0,3,1,4,7,15,181,210,30,4.333333333333333,2,2,0,6,20,211,240,30,4.433333333333334,1,2,1,5,21,241,270,30,4.166666666666667,4,1,0,6,19,271,300,30,4.366666666666666,2,0,3,5,20
B00020O3YC,1134426275000,1619960866833,1,120,120,4.2,6,7,17,17,73,121,150,30,3.9,4,2,3,5,16,151,180,30,3.466666666666667,3,8,3,4,12,181,210,30,3.3333333333333335,4,9,2,3,12,211,240,30,3.433333333333333,5,4,6,3,12,241,270,30,3.2,9,3,1,7,10,271,300,30,3.2333333333333334,7,3,6,4,10
B00020R0VK,1090696021000,1176218584000,1,120,120,3.9833333333333334,9,7,15,35,54,121,150,30,4.133333333333334,3,2,1,6,18,151,180,30,4.066666666666666,2,4,1,6,17,181,210,30,4.333333333333333,1,1,3,7,18,211,240,30,4.066666666666666,3,2,2,6,17,241,270,30,4.333333333333333,1,1,1,11,16,271,300,30,3.7,6,0,3,9,12
B00022HYJ6,1094433031000,1178601699000,1,120,120,4.2,10,6,9,20,75,121,150,30,4.2,0,4,2,8,16,151,180,30,3.933333333333333,1,3,4,11,11,181,210,30,3.7666666666666666,5,3,2,4,16,211,240,30,3.7,5,2,3,7,13,241,270,30,3.6666666666666665,4,4,1,10,11,271,300,30,3.7333333333333334,3,2,6,8,11
B00022NGIE,1090332661000,1368939249000,1,120,120,4.55,6,2,4,16,92,121,150,30,4.0,4,2,2,4,18,151,180,30,3.566666666666667,6,4,3,1,16,181,210,30,3.8,5,1,3,7,14,211,240,30,4.166666666666667,1,3,4,4,18,241,270,30,4.666666666666667,0,0,2,6,22,271,300,30,4.266666666666667,2,0,5,4,19
B00022P11O,1153410644000,1620494559893,1,120,120,4.325,8,6,7,17,82,121,150,30,4.233333333333333,2,1,4,4,19,151,180,30,4.166666666666667,1,3,4,4,18,181,210,30,4.466666666666667,1,1,2,5,21,211,240,30,4.7,1,0,0,5,24,241,270,30,4.666666666666667,1,0,0,6,23,271,300,30,4.8,0,0,1,4,25
B00023C6K2,1176321106000,1441464722000,1,120,120,4.675,2,2,5,15,96,121,150,30,4.666666666666667,1,0,1,4,24,151,180,30,4.7,1,0,2,1,26,181,210,30,4.933333333333334,0,0,0,2,28,211,240,30,4.666666666666667,0,0,2,6,22,241,270,30,4.866666666666666,0,0,0,4,26,271,300,30,4.9,0,0,0,3,27
B00024JOVA,1162830978000,1445517440000,1,120,120,2.925,33,20,20,17,30,121,150,30,3.2666666666666666,6,5,5,3,11,151,180,30,3.3333333333333335,6,6,1,6,11,181,210,30,3.033333333333333,8,3,6,6,7,211,240,30,3.466666666666667,6,2,5,6,11,241,270,30,3.6333333333333333,4,2,4,11,9,271,300,30,3.066666666666667,7,5,4,7,7
B00024JR4E,1126729245000,1396451050000,1,120,120,4.241666666666666,8,5,9,26,72,121,150,30,4.2,1,3,3,5,18,151,180,30,4.3,1,2,1,9,17,181,210,30,4.3,1,0,4,9,16,211,240,30,4.166666666666667,1,3,4,4,18,241,270,30,4.3,1,2,2,7,18,271,300,30,4.033333333333333,1,4,4,5,16
B000256NQI,1181571047000,1547917522320,1,120,120,4.308333333333334,9,6,2,25,78,121,150,30,4.2,2,0,7,2,19,151,180,30,4.166666666666667,2,1,2,10,15,181,210,30,3.933333333333333,6,1,0,5,18,211,240,30,3.7333333333333334,5,1,6,3,15,241,270,30,3.7666666666666666,4,5,2,2,17,271,300,30,3.7666666666666666,5,3,3,2,17
B00025H2PY,1130376108000,1378132853000,1,120,120,4.383333333333334,8,1,9,21,81,121,150,30,4.7,0,0,1,7,22,151,180,30,4.3,2,0,2,9,17,181,210,30,4.3,3,1,1,4,21,211,240,30,4.4,0,3,3,3,21,241,270,30,4.5,0,3,1,4,22,271,300,30,4.766666666666667,0,1,0,4,25
B000260MTQ,1240766679000,1595814672488,1,120,120,4.408333333333333,4,7,7,20,82,121,150,30,4.366666666666666,3,0,1,5,21,151,180,30,4.633333333333334,2,0,0,3,25,181,210,30,4.3,3,2,1,1,23,211,240,30,4.166666666666667,4,2,1,1,22,241,270,30,4.266666666666667,3,2,1,2,22,271,300,30,4.733333333333333,0,2,0,2,26
B00026I0JU,1056716267000,1421007038000,1,120,120,4.125,11,9,9,16,75,121,150,30,4.6,1,1,0,5,23,151,180,30,4.533333333333333,2,1,0,3,24,181,210,30,4.433333333333334,1,0,2,9,18,211,240,30,4.466666666666667,1,2,2,2,23,241,270,30,4.4,2,0,3,4,21,271,300,30,4.233333333333333,3,0,4,3,20
B00028I1M4,1148626512000,1459275123000,1,120,120,1.7916666666666667,74,19,13,6,8,121,150,30,1.9,20,3,1,2,4,151,180,30,2.3333333333333335,12,6,6,2,4,181,210,30,2.8333333333333335,11,4,4,1,10,211,240,30,2.2666666666666666,14,6,2,4,4,241,270,30,3.033333333333333,8,4,7,1,10,271,300,30,2.933333333333333,6,10,2,4,8
B000297YAS,1149730727000,1521905664058,1,120,120,3.908333333333333,18,8,6,23,65,121,150,30,3.2666666666666666,10,1,2,5,12,151,180,30,3.4,9,0,4,4,13,181,210,30,3.8333333333333335,7,0,3,1,19,211,240,30,3.3333333333333335,9,2,3,2,14,241,270,30,3.4,7,3,2,7,11,271,300,30,3.2333333333333334,10,1,3,4,12
